[20:12:34] GPU 运行库目录: ['C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cublas\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_nvrtc\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_runtime\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cudnn\\bin']
[20:12:34] 扫描文件夹: F:\Project\Life
[20:12:34] 共发现 499 个音视频文件
[20:12:34] 首次运行会下载模型，请耐心等待……
[20:12:40] 实际使用：模型 small  设备 cuda (float16)
[20:12:40] [1/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.mp4
[20:13:15]     完成（用时 35s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.txt
[20:13:15] [2/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.mp4
[20:14:09]     完成（用时 54s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.txt
[20:14:09] [3/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.mp4
[20:14:32]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.txt
[20:14:32] [4/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.mov
[20:14:55]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.txt
[20:14:55] [5/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.mov
[20:15:26]     完成（用时 31s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.txt
[20:15:26] [6/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.mov
[20:15:51]     完成（用时 25s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.txt
[20:15:51] [7/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.mov
[20:16:36]     完成（用时 45s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.txt
[20:16:36] [8/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.mov
[20:17:10]     完成（用时 34s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.txt
[20:17:10] [9/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.mov
[20:17:33]     完成（用时 22s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.txt
[20:17:33] [10/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.mp4
[20:18:17]     完成（用时 44s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.txt
[20:18:17] [11/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.mp4
[20:18:46]     完成（用时 29s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.txt
[20:18:46] [12/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.mp4
[20:19:16]     完成（用时 30s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.txt
[20:19:16] [13/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.mov
[20:19:35]     完成（用时 19s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.txt
[20:50:23]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\149.经常说这句话的男人都有女朋友了.txt
[20:50:23] [84/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\15.这种姿势打压女生她不会生气反而更爱你.mp3
[20:50:53]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\15.这种姿势打压女生她不会生气反而更爱你.txt
[20:50:53] [85/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\150建立恋爱关系的正确态度.mp3
[20:51:04]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\150建立恋爱关系的正确态度.txt
[20:51:04] [86/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\151.追女生其实靠这三点就够了.mp3
[20:51:16]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\151.追女生其实靠这三点就够了.txt
[20:51:16] [87/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\152.春天该带女生去什么地方约会.mp3
[20:51:27]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\152.春天该带女生去什么地方约会.txt
[20:51:27] [88/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\153.吸引阶段如何通过聊天放大你的吸.mp3
[20:51:37]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\153.吸引阶段如何通过聊天放大你的吸.txt
[20:51:37] [89/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\154.什么样的肢体语言会让你加分？.mp3
[20:51:53]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\154.什么样的肢体语言会让你加分？.txt
[20:51:53] [90/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\155.快速切换话题才可以吸引女生.mp3
[20:52:09]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\155.快速切换话题才可以吸引女生.txt
[20:52:09] [91/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\156.注意了这些升级关系的细节，你就是下一个高手！.mp3
[20:52:23]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\156.注意了这些升级关系的细节，你就是下一个高手！.txt
[20:52:23] [92/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\157.社交场合diss朋友，勾引妹子，其实你错了！.mp3
[20:52:44]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\157.社交场合diss朋友，勾引妹子，其实你错了！.txt
[20:52:44] [93/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\158.会撩的男生这样让女生请自己吃东西.mp3
[20:53:11]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\158.会撩的男生这样让女生请自己吃东西.txt
[20:53:11] [94/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\159.简单点，邀约的套路简单点.mp3
[20:53:47]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\159.简单点，邀约的套路简单点.txt
[20:53:47] [95/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\16.永不错过心仪妹子的看家本领——搭讪.mp3
[20:54:22]     完成（用时 35s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\16.永不错过心仪妹子的看家本领——搭讪.txt
[20:54:22] [96/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\160.没有约不到的妹子，只有准备不充分的约会.mp3
[20:54:53]     完成（用时 31s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\160.没有约不到的妹子，只有准备不充分的约会.txt
[20:54:53] [97/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\161.带女生到私密空间——约会案例分享.mp3
[20:55:38]     完成（用时 45s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\161.带女生到私密空间——约会案例分享.txt
[20:55:38] [98/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\162.和妹子愉快玩耍——酒吧约会攻略.mp3
[20:56:18]     完成（用时 40s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\162.和妹子愉快玩耍——酒吧约会攻略.txt
[20:56:18] [99/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\163.和妹子愉快玩耍——商场约会攻略.mp3
[20:56:46]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\163.和妹子愉快玩耍——商场约会攻略.txt
[20:56:46] [100/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\164.约会案例分析：先取悦自己，再取悦别人.mp3
[20:57:37]     完成（用时 51s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\164.约会案例分析：先取悦自己，再取悦别人.txt
[20:57:37] [101/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\165.偷偷告诉你：约会前一定要带上这些装备.mp3
[20:58:22]     完成（用时 45s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\165.偷偷告诉你：约会前一定要带上这些装备.txt
[20:58:22] [102/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\166.夏洛约会案例分析.mp3
[20:59:06]     完成（用时 44s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\166.夏洛约会案例分析.txt
[20:59:06] [103/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\167.根女生聊这些你们就没有下文了！.mp3
[20:59:37]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\167.根女生聊这些你们就没有下文了！.txt
[20:59:37] [104/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\168.走出这六个聊天雷区，从此撩妹超简单.mp3
[21:00:13]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\168.走出这六个聊天雷区，从此撩妹超简单.txt
[21:00:13] [105/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\169.利用女生废物测试跟女生调情的话术.mp3
[21:01:06]     完成（用时 53s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\169.利用女生废物测试跟女生调情的话术.txt
[21:01:06] [106/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\17.和陌生女生说话语无伦次？这节课专治你的病(2).mp3
[21:01:31]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\17.和陌生女生说话语无伦次？这节课专治你的病(2).txt
[21:01:31] [107/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\17.和陌生女生说话语无伦次？这节课专治你的病.mp3
[21:02:07]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\17.和陌生女生说话语无伦次？这节课专治你的病.txt
[21:02:07] [108/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\170.女生自述：撩我之前请先提高你的情商.mp3
[21:02:23]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\170.女生自述：撩我之前请先提高你的情商.txt
[21:02:23] [109/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\171.如何优雅地吃女生的醋.mp3
[21:02:56]     完成（用时 33s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\171.如何优雅地吃女生的醋.txt
[21:02:56] [110/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\172.如何避免被女神当做“提款机”.mp3
[21:03:13]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\172.如何避免被女神当做“提款机”.txt
[21:03:13] [111/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\173.女生对你冷淡，这样聊天让她重新对你热情.mp3
[21:03:54]     完成（用时 41s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\173.女生对你冷淡，这样聊天让她重新对你热情.txt
[21:03:54] [112/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\174.心仪女生过生日这么送礼才靠谱.mp3
[21:04:11]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\174.心仪女生过生日这么送礼才靠谱.txt
[21:04:11] [113/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\175.总是追不到你喜欢的女生？肯定是因为这个.mp3
[21:04:26]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\175.总是追不到你喜欢的女生？肯定是因为这个.txt
[21:04:26] [114/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\176.读懂女孩子的暗示，你才能撩到她.mp3
[21:04:39]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\176.读懂女孩子的暗示，你才能撩到她.txt
[21:04:39] [115/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\177.节假期表白手册，收藏！.mp3
[21:05:02]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\177.节假期表白手册，收藏！.txt
[21:05:02] [116/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\178.怎样的拉手不仅不会尴尬，还能从此把她带走.mp3
[21:05:17]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\178.怎样的拉手不仅不会尴尬，还能从此把她带走.txt
[21:05:17] [117/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\179.女人喜欢成熟男人这样表达情感.mp3
[21:05:51]     完成（用时 34s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\179.女人喜欢成熟男人这样表达情感.txt
[21:05:51] [118/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\180.学会这两点，让你的聊天氛围会提升3倍.mp3
[21:06:17]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\180.学会这两点，让你的聊天氛围会提升3倍.txt
[21:06:17] [119/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\181.一个简单实用的聊天模板.mp3
[21:06:47]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\181.一个简单实用的聊天模板.txt
[21:06:47] [120/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\182.初期聊天的标准流程.mp3
[21:07:04]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\182.初期聊天的标准流程.txt
[21:07:04] [121/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\183.对你没好感的女孩该怎么追.mp3
[21:07:21]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\183.对你没好感的女孩该怎么追.txt
[21:07:21] [122/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\184.如何通过制造冲突跟女生调情.mp3
[21:07:32]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\184.如何通过制造冲突跟女生调情.txt
[21:07:32] [123/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\185.约会买单法则.mp3
[21:07:43]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\185.约会买单法则.txt
[21:07:43] [124/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\186.走出这两个聊天雷区，你也可以会聊天.mp3
[21:08:04]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\186.走出这两个聊天雷区，你也可以会聊天.txt
[21:08:04] [125/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\187.90%的男人都犯的撩妹错误：情感过度.mp3
[21:08:33]     完成（用时 29s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\187.90%的男人都犯的撩妹错误：情感过度.txt
[21:08:33] [126/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\188.帮忙帮出真感情？别逗了！帮忙的同时记得这样撩才有机会.mp3
[21:08:45]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\188.帮忙帮出真感情？别逗了！帮忙的同时记得这样撩才有机会.txt
[21:08:45] [127/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\189.如何优雅地跟女生说“来我家坐坐”.mp3
[21:09:11]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\189.如何优雅地跟女生说“来我家坐坐”.txt
[21:09:11] [128/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\19.“多喝热水”没有用，这才是关心女生的正确方式.mp3
[21:09:47]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\19.“多喝热水”没有用，这才是关心女生的正确方式.txt
[21:09:47] [129/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\190.如何跟女孩子实现情感上的共鸣.mp3
[21:10:08]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\190.如何跟女孩子实现情感上的共鸣.txt
[21:10:08] [130/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\191.百分之百的聊天死于随意评价.mp3
[21:10:29]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\191.百分之百的聊天死于随意评价.txt
[21:10:29] [131/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\192.女生要你买单的时候这样聊才有情调.mp3
[21:10:45]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\192.女生要你买单的时候这样聊才有情调.txt
[21:10:45] [132/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\193.520到了，请停止你的送花计划.mp3
[21:11:02]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\193.520到了，请停止你的送花计划.txt
[21:11:02] [133/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\194.“血淋淋”的现实告诉你什么才是撩妹最重要的.mp3
[21:11:23]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\194.“血淋淋”的现实告诉你什么才是撩妹最重要的.txt
[21:11:23] [134/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\195.聊天的三个基本功，学完稳稳上高地.mp3
[21:11:50]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\195.聊天的三个基本功，学完稳稳上高地.txt
[21:11:50] [135/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\196.和最辣的妹，调最浓的情.mp3
[21:12:03]     完成（用时 13s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\196.和最辣的妹，调最浓的情.txt
[21:12:03] [136/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\197.如何成为一个走到哪撩到哪的男人.mp3
[21:12:12]     完成（用时 9s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\197.如何成为一个走到哪撩到哪的男人.txt
[21:12:12] [137/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\198.聊天中有你有我，你们才能负距离接触啊.mp3
[21:12:25]     完成（用时 13s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\198.聊天中有你有我，你们才能负距离接触啊.txt
[21:12:25] [138/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\199.这些地方里撩妹，一撩一个准儿！.mp3
[21:12:44]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\199.这些地方里撩妹，一撩一个准儿！.txt
[21:12:44] [139/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\20.女生不回消息时这样做才能一招反转.mp3
[21:13:07]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\20.女生不回消息时这样做才能一招反转.txt
[21:13:07] [140/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\200.手把手教你聊天，让她彻底迷上你.mp3
[21:13:32]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\200.手把手教你聊天，让她彻底迷上你.txt
[21:13:32] [141/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\201.分手后掌握女生的这些小心思，她会主动来求复合.mp3
[21:13:55]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\201.分手后掌握女生的这些小心思，她会主动来求复合.txt
[21:13:55] [142/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\202.把女生聊嗨，就用这个方法.mp3
[21:14:19]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\202.把女生聊嗨，就用这个方法.txt
[21:14:19] [143/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\203.这样聊微信，最容易让女生喜欢上你.mp3
[21:14:37]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\203.这样聊微信，最容易让女生喜欢上你.txt
[21:14:37] [144/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\204.和女生聊天的五大话题.mp3
[21:15:00]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\204.和女生聊天的五大话题.txt
[21:15:00] [145/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\205.这四个技巧快速聊嗨妹子.mp3
[21:15:27]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\205.这四个技巧快速聊嗨妹子.txt
[21:15:27] [146/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\206.这样做，妹子会更舒服.mp3
[21:15:53]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\206.这样做，妹子会更舒服.txt
[21:15:53] [147/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\207.让她无法拒绝和你亲热的1个技巧.mp3
[21:16:14]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\207.让她无法拒绝和你亲热的1个技巧.txt
[21:16:14] [148/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\208.从陌生到恋人，这才是最快的方式.mp3
[21:16:33]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\208.从陌生到恋人，这才是最快的方式.txt
[21:16:33] [149/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\209.因为懂这些姿势，才能撩到她的敏感点.mp3
[21:16:51]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\209.因为懂这些姿势，才能撩到她的敏感点.txt
[21:16:51] [150/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\21.跟女生交往这种时候就是要硬！.mp3
[21:17:18]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\21.跟女生交往这种时候就是要硬！.txt
[21:17:18] [151/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\210.女生最讨厌的三种聊天方式，你中了几个？.mp3
[21:17:44]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\210.女生最讨厌的三种聊天方式，你中了几个？.txt
[21:17:44] [152/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\211.这个方法，让你和“不会聊天”彻底说拜拜.mp3
[21:18:02]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\211.这个方法，让你和“不会聊天”彻底说拜拜.txt
[21:18:02] [153/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\212.刚认识女生不久，怎样聊天她会上瘾？.mp3
[21:18:40]     完成（用时 38s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\212.刚认识女生不久，怎样聊天她会上瘾？.txt
[21:18:40] [154/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\213.撩妹雷区，踩到就玩完.mp3
[21:18:57]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\213.撩妹雷区，踩到就玩完.txt
[21:18:57] [155/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\214.约会太尴尬？你得这样去解决.mp3
[21:19:27]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\214.约会太尴尬？你得这样去解决.txt
[21:19:27] [156/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\215.女生太难追？你可能是陷入了误区.mp3
[21:19:49]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\215.女生太难追？你可能是陷入了误区.txt
[21:19:49] [157/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\216.电影院里这样操作，女生秒变女朋友.mp3
[21:20:05]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\216.电影院里这样操作，女生秒变女朋友.txt
[21:20:05] [158/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\217.电影院约会升级关系进阶操作.mp3
[21:20:22]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\217.电影院约会升级关系进阶操作.txt
[21:20:22] [159/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\218.关于表白，你绝不能错过的知识点.mp3
[21:20:42]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\218.关于表白，你绝不能错过的知识点.txt
[21:20:42] [160/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\219.想要追到女生，先学会这样赞美她.mp3
[21:20:56]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\219.想要追到女生，先学会这样赞美她.txt
[21:20:56] [161/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\22.三个惯例轻松调情！撩妹就这么简单！.mp3
[21:21:08]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\22.三个惯例轻松调情！撩妹就这么简单！.txt
[21:21:08] [162/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\220.邀约女生，“三招”提高你的成功率.mp3
[21:21:26]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\220.邀约女生，“三招”提高你的成功率.txt
[21:21:26] [163/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\221.约会中的“突发事件”，升级你们的关系.mp3
[21:22:01]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\221.约会中的“突发事件”，升级你们的关系.txt
[21:22:01] [164/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\222.走进科学：追女神的基本思路是什么 公开.mp3
[21:22:13]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\222.走进科学：追女神的基本思路是什么 公开.txt
[21:22:13] [165/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\223.听完这5句话，你会觉得错过的不止一个亿.mp3
